 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2015-10-07 19:00:00,Spectral_401179.Chn,883463.12908,200302.563993,378.10740917,556.868874071,2673.11842105,47.7763428353,58.75,0.791821561338
2015-10-07 20:00:00,Spectral_401180.Chn,884255.749089,200951.03003,321.771557674,568.317248404,2830.23087687,45.802596434,31.6956521739,0.82156133829
2015-10-07 21:00:00,Spectral_401181.Chn,882499.027809,200226.249878,457.358657159,624.443464456,3355.34704969,50.0051611876,43.9090909091,0.111524163569
2015-10-07 22:00:00,Spectral_401182.Chn,884951.437377,201312.696573,429.678406841,533.80317976,2729.65686275,44.9503199365,42.84375,0.498141263941
2015-10-07 23:00:00,Spectral_401183.Chn,884529.518776,200287.465617,449.440125195,639.472526608,2929.0,53.1346817017,58.0677966102,-0.0780669144982
2015-10-08 00:00:00,Spectral_401184.Chn,883446.090814,200575.924024,409.13969642,628.62428451,2565.8,52.131559358,55.8,-0.14126394052
2015-10-08 01:00:00,Spectral_401185.Chn,884211.664739,201454.285981,368.584614726,531.171858461,2990.08,43.5644417824,45.5555555556,0.434944237918
2015-10-08 02:00:00,Spectral_401186.Chn,886186.303806,200300.314098,426.098113438,598.732690046,2550.44534413,50.4978380129,62.3571428571,0.17843866171
2015-10-08 03:00:00,Spectral_401187.Chn,884382.210237,200933.264141,438.285697729,624.259690049,3491.26666667,49.2704236745,32.3050847458,0.758364312268
2015-10-08 04:00:00,Spectral_401188.Chn,884923.732515,200215.371543,392.922367257,577.473172921,2807.67647059,46.7573131956,40.6,-0.115241635688
2015-10-08 05:00:00,Spectral_401189.Chn,885041.662256,200409.2482,397.613375637,612.391655417,3014.39242351,49.8201464033,47.5,-0.691449814126
2015-10-08 06:00:00,Spectral_401190.Chn,883807.492604,201056.915177,447.23623099,589.817870066,3130.0,48.4283777159,50.3235294118,0.728624535316
2015-10-08 07:00:00,Spectral_401191.Chn,884989.972821,200632.467927,399.440227347,525.768338396,2749.33524027,44.9332731906,51.3076923077,-0.144981412639
2015-10-08 08:00:00,Spectral_401192.Chn,885186.630552,200914.320695,381.60482083,604.999142347,2772.08,49.1979824519,39.0508474576,-0.115241635688
2015-10-08 09:00:00,Spectral_401193.Chn,883552.625053,201279.264567,433.301375324,609.075294818,3154.19264069,49.9804170681,46.7457627119,-0.431226765799
2015-10-08 10:00:00,Spectral_401194.Chn,884871.154787,200841.642216,453.323057317,653.779628587,2948.625,54.6843219921,59.78125,-0.211895910781
2015-10-08 11:00:00,Spectral_401195.Chn,885694.753606,200789.220036,363.145536745,661.067329143,3103.80084746,57.2946981862,51.9444444444,1.04832713755
2015-10-08 12:00:00,Spectral_401196.Chn,885475.05148,201799.655613,417.341782907,598.033519715,2834.17826087,49.2981242528,38.8596491228,-0.10780669145
2015-10-08 13:00:00,Spectral_401197.Chn,885215.261559,200842.182632,420.953983805,579.164401476,2526.95238095,48.3554226649,47.4117647059,1.91449814126
2015-10-08 14:00:00,Spectral_401198.Chn,884555.267753,201200.458332,390.354110912,657.81016747,3302.24751131,54.7258567531,62.0877192982,0.598513011152
2015-10-08 15:00:00,Spectral_401199.Chn,885118.798153,200579.035171,458.649050664,646.469930868,3214.5,53.7673454639,58.7254901961,-0.0817843866171
2015-10-08 16:00:00,Spectral_401200.Chn,884205.742002,200249.345194,462.738982087,778.041997861,3579.45992544,65.257008709,70.3333333333,0.17843866171
2015-10-08 17:00:00,Spectral_401201.Chn,884662.158701,200557.197258,494.574657351,618.758791612,2987.79310345,50.9353698846,40.0,-0.758364312268
2015-10-08 18:00:00,Spectral_401202.Chn,883497.535593,200944.480711,414.029782062,591.880128678,3258.36481615,48.7182392459,55.8644067797,0.695167286245
2015-10-08 19:00:00,Spectral_401203.Chn,884460.819555,200965.321908,457.766877954,732.737703549,3272.28813559,63.1333433911,68.1568627451,0.174721189591
2015-10-08 20:00:00,Spectral_401204.Chn,884195.670115,200601.387923,415.691945586,596.200337936,2629.76612903,50.181659881,44.7288135593,-1.53531598513
