 # MagPy ASCII
Time,"File",Bi-214_609[KeV],Bi-214_1120[KeV],Bi-214_1764[KeV],Pb-214_295[KeV],Pb-214_352[KeV]
2015-10-07 19:00:00,Spectral_401179.Chn,60233.5432954,210841.416355,70606.3955015,166977.631233,250569.58417
2015-10-07 20:00:00,Spectral_401180.Chn,59486.8405429,211015.890918,69735.0939757,171525.995682,256875.822218
2015-10-07 21:00:00,Spectral_401181.Chn,59184.7467466,210394.873156,70621.4174114,169098.205395,253873.47918
2015-10-07 22:00:00,Spectral_401182.Chn,59819.0827778,215251.020278,70408.0974077,171833.697635,243592.519998
2015-10-07 23:00:00,Spectral_401183.Chn,59765.3405512,212932.210279,71695.7359865,170475.637637,240084.252337
2015-10-08 00:00:00,Spectral_401184.Chn,60570.8416252,213190.421072,71143.2801061,176781.251605,256623.394439
2015-10-08 01:00:00,Spectral_401185.Chn,59372.6721459,213775.369354,71226.8536589,172689.530322,249716.831011
2015-10-08 02:00:00,Spectral_401186.Chn,59785.3793039,209479.961873,70936.5792371,173455.451196,271837.717194
2015-10-08 03:00:00,Spectral_401187.Chn,58939.4041318,212690.331139,70146.7264225,168241.67373,252778.923057
2015-10-08 04:00:00,Spectral_401188.Chn,59278.3063308,212581.729566,71596.4635438,168773.997309,256116.271331
2015-10-08 05:00:00,Spectral_401189.Chn,60250.3331616,212473.653467,71788.324785,170021.393469,255130.808663
2015-10-08 06:00:00,Spectral_401190.Chn,57949.0560489,207486.319515,70494.5943133,165147.655743,247758.443104
2015-10-08 07:00:00,Spectral_401191.Chn,59294.0927746,213009.426774,71146.2089759,167866.344672,254600.536202
2015-10-08 08:00:00,Spectral_401192.Chn,59498.80328,213299.543385,71102.5652976,166599.669572,252301.134879
2015-10-08 09:00:00,Spectral_401193.Chn,61085.3947337,206880.278502,71052.0153176,170279.250264,246730.408169
2015-10-08 10:00:00,Spectral_401194.Chn,59997.598205,209916.619969,69272.0156852,175012.858942,242783.453192
2015-10-08 11:00:00,Spectral_401195.Chn,59497.8843797,211606.201245,70755.3372227,169189.789624,241706.120273
2015-10-08 12:00:00,Spectral_401196.Chn,58984.660155,211057.811729,69707.9214678,164622.027083,235939.112711
2015-10-08 13:00:00,Spectral_401197.Chn,59083.1304436,212380.471788,71785.4830223,170554.993291,270825.643211
2015-10-08 14:00:00,Spectral_401198.Chn,58748.4954024,214549.559858,71095.8706075,172192.045435,251211.232503
2015-10-08 15:00:00,Spectral_401199.Chn,60084.8011398,212790.145048,72153.5823297,174697.949259,246243.266332
2015-10-08 16:00:00,Spectral_401200.Chn,60096.0301499,214974.215443,70494.8983768,170147.162664,250923.127862
2015-10-08 17:00:00,Spectral_401201.Chn,59174.0962736,215439.634716,70076.64716,168041.726267,252316.78786
2015-10-08 18:00:00,Spectral_401202.Chn,59234.9640209,214909.558503,71319.1850792,173955.676651,247951.659938
2015-10-08 19:00:00,Spectral_401203.Chn,58735.645407,213504.927333,70394.4723463,174967.515215,257320.758554
2015-10-08 20:00:00,Spectral_401204.Chn,58710.1747958,208305.646107,71959.1713158,170028.0067,268936.277482
2015-10-08 21:00:00,Spectral_401205.Chn,58763.1540131,211230.238818,71533.1329309,176626.556848,257277.72938
2015-10-08 22:00:00,Spectral_401206.Chn,58569.4660235,213262.033718,70835.8702542,169905.859152,255530.219149
2015-10-08 23:00:00,Spectral_401207.Chn,57920.3399504,215123.087369,71123.9927578,174222.672852,254970.205208
2015-10-09 00:00:00,Spectral_401208.Chn,59678.2484288,211526.934637,71725.3526057,173052.76827,254992.568311
2015-10-09 01:00:00,Spectral_401209.Chn,60127.1531082,214469.903781,72361.7647816,173573.097824,250207.728571
2015-10-09 02:00:00,Spectral_401210.Chn,59589.4983939,212428.328157,70897.1011651,170302.162153,233156.988867
2015-10-09 03:00:00,Spectral_401211.Chn,58600.3611513,212914.489658,70526.4200348,175435.198246,258583.467404
2015-10-09 04:00:00,Spectral_401212.Chn,59262.701196,212189.568902,70635.435866,174159.039144,251715.98244
2015-10-09 05:00:00,Spectral_401213.Chn,57635.4476106,211678.060681,70888.7295074,169722.235971,257834.378523
2015-10-09 06:00:00,Spectral_401214.Chn,59458.1711918,212750.964009,70238.6112844,165946.423902,242912.14899
